Sembol,Yon,Giris_Tarihi,Giris_Fiyati,Cikis_Tarihi,Cikis_Fiyati,Adet,Hacim_USD,P&L_USD,P&L_Pct,Sebep,Elde_Tutma_Gun
TMO,LONG,2025-05-27,402.07049560546875,2025-05-28,400.6557312011719,3,1206.2114868164062,-4.244293212890625,-0.3518697392024286,AI REVERSAL SİNYALİ (SHORT %100.0),1
HD,SHORT,2025-05-27,361.2681884765625,2025-06-13,355.51,4,1445.07275390625,18.912753906250035,1.3087752056168802,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),13
JNJ,LONG,2025-10-17,189.89356994628906,2025-10-20,190.38494873046875,8,1519.1485595703125,3.9310302734375,0.2587653622598558,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2025-10-17,225.8638916015625,2025-10-20,228.3136749267578,6,1355.183349609375,14.698699951171875,1.0846281394623616,AI REVERSAL SİNYALİ (SHORT %100.0),1
LLY,LONG,2025-10-17,798.941650390625,2025-10-20,805.0419921875,1,798.941650390625,6.100341796875,0.7635528569442301,AI REVERSAL SİNYALİ (SHORT %100.0),1
TMO,LONG,2025-10-17,537.9832153320312,2025-10-20,542.8946533203125,2,1075.9664306640625,9.8228759765625,0.9129351712673823,AI REVERSAL SİNYALİ (SHORT %100.0),1
AMZN,SHORT,2025-10-17,213.0399932861328,2025-10-21,221.36,7,1491.2799530029297,-58.89004699707041,-3.948959876949054,STOP-LOSS SHORT,2
TSLA,SHORT,2025-10-17,439.30999755859375,2025-10-28,465.34,3,1317.9299926757812,-80.11000732421867,-6.078472132011508,STOP-LOSS SHORT,7
HD,SHORT,2025-11-18,332.0974426269531,2025-11-21,340.31,4,1328.3897705078125,-33.72022949218751,-2.538428873876155,STOP-LOSS SHORT,3
JNJ,LONG,2025-11-18,196.55682373046875,2025-11-24,199.55,7,1375.8977661132812,20.952233886718886,1.5228045573404787,KARLA_STOP_OLDU (Step-Up Trailing Stop),4
ABBV,LONG,2025-11-18,230.09446716308594,2025-11-25,228.05787658691406,6,1380.5668029785156,-12.21954345703125,-0.8851106249018947,AI REVERSAL SİNYALİ (SHORT %100.0),5
MRK,LONG,2025-11-18,94.90982055664062,2025-11-25,103.99432373046875,16,1518.55712890625,145.35205078125,9.57172094578626,AI REVERSAL SİNYALİ (SHORT %100.0),5
LLY,LONG,2025-11-18,1026.5665283203125,2025-11-25,1106.186279296875,1,1026.5665283203125,79.6197509765625,7.755927042238348,AI REVERSAL SİNYALİ (SHORT %100.0),5
HD,SHORT,2025-11-21,338.8483581542969,2025-11-25,345.65,4,1355.3934326171875,-27.79656738281241,-2.0508117210763532,STOP-LOSS SHORT,2
JNJ,LONG,2025-11-24,202.50267028808594,2025-11-25,204.401611328125,7,1417.5186920166016,13.292587280273438,0.9377362961868977,AI REVERSAL SİNYALİ (SHORT %100.0),1
JNJ,LONG,2026-02-06,237.3558807373047,2026-02-09,236.02069091796875,6,1424.1352844238281,-8.011138916015625,-0.562526538288583,AI REVERSAL SİNYALİ (SHORT %100.0),1
UNH,LONG,2026-02-06,274.5158386230469,2026-02-09,273.57318115234375,5,1372.5791931152344,-4.713287353515625,-0.3433891011285294,AI REVERSAL SİNYALİ (SHORT %100.0),1
ABBV,LONG,2026-02-06,221.5916290283203,2026-02-09,221.42303466796875,7,1551.1414031982422,-1.1801605224609375,-0.07608336158312887,AI REVERSAL SİNYALİ (SHORT %100.0),1
MRK,LONG,2026-02-06,121.03353881835938,2026-02-09,116.3985806226873,12,1452.4024658203125,-55.61949834806478,-3.8294825061902564,STOP-LOSS,1
AMZN,SHORT,2026-02-06,210.32000732421875,2026-02-20,211.1,7,1472.2400512695312,-8.35994873046871,-0.5678386974501761,STOP-LOSS SHORT,9
JNJ,LONG,2026-03-04,243.8973388671875,2026-03-05,237.91944730248275,6,1463.384033203125,-35.86734938822838,-2.450986793242523,STOP-LOSS,1
ABBV,LONG,2026-03-04,234.2466583251953,2026-03-05,230.43826293945312,6,1405.4799499511719,-22.850372314453125,-1.6258056413573867,AI REVERSAL SİNYALİ (SHORT %100.0),1
MRK,LONG,2026-03-04,119.39566802978516,2026-03-05,115.13614620380976,12,1432.7480163574219,-51.114261911704716,-3.5675681507245196,STOP-LOSS,1
ABBV,LONG,2026-03-06,228.2166748046875,2026-03-13,219.72,6,1369.300048828125,-50.980048828125064,-3.723073615001681,STOP-LOSS,5
AMZN,SHORT,2026-03-04,216.82000732421875,2026-03-17,213.54,7,1517.7400512695312,19.970051269531304,1.31577546845569,STOP-LOSS SHORT,9
JNJ,LONG,2026-03-06,239.0253448486328,2026-03-18,235.72,6,1434.1520690917969,-19.83206909179694,-1.3828428323055002,STOP-LOSS,8
HD,SHORT,2026-03-04,366.6586608886719,2026-03-19,326.4361342447143,4,1466.6346435546875,157.35010657583027,10.728650606156437,TAKE-PROFIT SHORT (Hedef Vuruldu),11
TSLA,SHORT,2026-03-13,391.20001220703125,2026-03-23,381.4,3,1173.6000366210938,27.86003662109382,2.373895343536757,STOP-LOSS SHORT,6
AMZN,SHORT,2026-03-17,215.1999969482422,2026-03-23,210.93,7,1506.3999786376953,28.569978637695264,1.8965732237683892,STOP-LOSS SHORT,4
HD,SHORT,2026-03-19,328.2099914550781,2026-03-23,334.06,4,1312.8399658203125,-23.980034179687507,-1.8265771003325504,STOP-LOSS SHORT,2
MRK,LONG,2026-03-06,114.93868255615234,2026-03-27,119.62999725341797,13,1494.2028732299805,60.987091064453125,4.081580363489657,TIME BARRIER (15 Gün Zaman Aşımı),15
AMZN,SHORT,2026-03-23,210.13999938964844,2026-03-27,206.4600067138672,7,1470.979995727539,24.46994873046875,1.6635133585461197,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),4
TSLA,SHORT,2026-03-23,380.8500061035156,2026-03-31,368.37,4,1523.4000244140625,47.92002441406248,3.145596930950143,STOP-LOSS SHORT,6
AMZN,SHORT,2026-03-27,199.33999633789062,2026-03-31,207.11,8,1594.719970703125,-62.86002929687511,-3.9417597102743755,STOP-LOSS SHORT,2
JNJ,LONG,2026-03-18,235.92318725585938,2026-04-07,238.31,6,1415.5391235351562,14.320876464843877,1.0116906150272296,STOP-LOSS,13
MRK,LONG,2026-03-27,119.62999725341797,2026-04-07,117.4,13,1555.1899642944336,-28.98996429443355,-1.8640786630581083,STOP-LOSS,6
HD,SHORT,2026-03-23,330.8999938964844,2026-04-08,333.260009765625,4,1323.5999755859375,-12.6300634765625,-0.9542205885106159,STOP-LOSS SHORT,11
AMZN,SHORT,2026-03-31,208.27000427246094,2026-04-08,223.7899932861328,7,1457.8900299072266,-110.23992309570312,-7.561607585910872,STOP-LOSS SHORT,5
TSLA,SHORT,2026-03-31,371.75,2026-04-08,363.7900085449219,4,1487.0,30.2099658203125,2.031604964378783,STOP-LOSS SHORT,5
JNJ,LONG,2026-04-07,237.04673767089844,2026-04-08,234.16,6,1422.2804260253906,-17.32042602539059,-1.2177926172965121,KARLA_STOP_OLDU (Step-Up Trailing Stop),1
MRK,LONG,2026-04-07,119.27999877929688,2026-04-08,119.2,13,1550.6399841308594,-1.0399841308592386,-0.06706805844698724,KARLA_STOP_OLDU (Step-Up Trailing Stop),1
JNJ,LONG,2026-04-08,239.9202117919922,2026-04-09,239.93014526367188,6,1439.5212707519531,0.059600830078125,0.004140322987168624,AI REVERSAL SİNYALİ (SHORT %100.0),1
MRK,LONG,2026-04-08,123.18000030517578,2026-04-09,122.68000030517578,12,1478.1600036621094,-6.0,-0.4059100493272129,AI REVERSAL SİNYALİ (SHORT %100.0),1
LLY,LONG,2026-04-08,951.6618041992188,2026-04-09,953.5485229492188,1,951.6618041992188,1.88671875,0.19825517233904225,AI REVERSAL SİNYALİ (SHORT %100.0),1
TSLA,SHORT,2026-04-08,343.25,2026-04-14,367.54,4,1373.0,-98.36000000000008,-7.163874726875462,STOP-LOSS SHORT,4
HD,SHORT,2026-04-08,336.1600036621094,2026-04-17,350.61,4,1344.6400146484375,-59.85998535156256,-4.451748029171453,STOP-LOSS SHORT,7
MCD,SHORT,2026-05-07,283.70001220703125,2026-05-08,285.0,5,1418.5000610351562,-6.80993896484375,-0.48008027295213285,KARLA_STOP_OLDU SHORT (Step-Up Trailing Stop),1
PEP,LONG,2026-05-08,154.6199951171875,2026-05-11,149.97642244611467,9,1391.5799560546875,-41.79215403965554,-3.003216154258344,STOP-LOSS,1
COST,LONG,2026-05-08,1008.7899780273438,2026-05-18,1050.0,1,1008.7899780273438,41.21002197265625,4.085094308058166,KARLA_STOP_OLDU (Step-Up Trailing Stop),6
HD,SHORT,2026-05-07,322.6400146484375,2026-05-19,291.8699951171875,4,1290.56005859375,120.820078125,9.361833052283577,TAKE-PROFIT SHORT (Hedef Vuruldu),8
MCD,SHORT,2026-05-12,274.8399963378906,2026-05-19,283.91,5,1374.1999816894531,-46.860018310547,-3.409985368573277,STOP-LOSS SHORT,5
PEP,LONG,2026-05-12,151.85000610351562,2026-05-21,146.88,10,1518.5000610351562,-49.700061035156295,-3.2729706313792266,STOP-LOSS,7
KO,LONG,2026-05-08,78.41999816894531,2026-05-26,80.53,19,1489.979965209961,40.090034790039,2.690642540578705,STOP-LOSS,11
